info architecture,new_page,permanent_url,sitemap_xml,content_type,parent,slug,slug_old,seo_title,seo_description,robots,advanced_robots,canonical_url,focus_keyword,seo_score,is_pillar_content,primary_term,schema_data,social_facebook_thumbnail,social_facebook_title,social_facebook_description,social_twitter_thumbnail,social_twitter_title,social_twitter_description,redirect_to,redirect_type
0.0 Home,https://env-introhive-thrillworks.kinsta.cloud/homepage/,https://www.introhive.com/,https://www.introhive.com/page-sitemap.xml,home,,hp-dec-2024,hp-dec-2024,#1 Relationship Intelligence Platform | Introhive,Introhive is a Relationship Intelligence platform that helps firms overcome data silos and unlock actionable relationship insights that drive collaboration and growth.,,,,,26,no,,"{""VideoObject"":{""@type"":""VideoObject"",""metadata"":{""title"":""Video"",""type"":""template"",""shortcode"":""s-68a3b9c4ab4b3"",""isPrimary"":false,""reviewLocationShortcode"":""[rank_math_rich_snippet]"",""category"":""%categories%"",""tags"":""%tags%"",""isAutoGenerated"":true},""name"":""%seo_title%"",""description"":""Enjoy the videos and music that you love, upload original content and share it all with friends, family and the world on YouTube."",""uploadDate"":""%date(Y-m-dTH:i:sP)%"",""thumbnailUrl"":""%post_thumbnail%"",""embedUrl"":""https://www.youtube.com/embed/SG-_9D6P5D4"",""contentUrl"":"""",""duration"":"""",""width"":"""",""height"":"""",""isFamilyFriendly"":true}}",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1 Relationship Intelligence,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-1-relationship-intelligence/,https://www.introhive.com/relationship-intelligence/,https://www.introhive.com/page-sitemap.xml,page,platform,relationship-intelligence,relationship-intelligence,,,,,,relationship intelligence,75,no,,"{""Article"":{""headline"":""%seo_title%"",""description"":""%seo_description%"",""datePublished"":""%date(Y-m-dTH:i:sP)%"",""dateModified"":""%modified(Y-m-dTH:i:sP)%"",""keywords"":""%keywords%"",""image"":{""@type"":""ImageObject"",""url"":""%post_thumbnail%""},""author"":{""@type"":""Person"",""name"":""%name%""},""@type"":""Article"",""metadata"":{""title"":""Article"",""type"":""template"",""isPrimary"":true}},""VideoObject"":{""@type"":""VideoObject"",""metadata"":{""title"":""Video"",""type"":""template"",""shortcode"":""s-681e123bc5eb8"",""isPrimary"":true,""reviewLocationShortcode"":""[rank_math_rich_snippet]"",""category"":""%categories%"",""tags"":""%tags%"",""isAutoGenerated"":true},""name"":""Ask Introhive and Signals"",""description"":""Discover Ask Introhive and Signals \\u2013 and how they empower teams with instant relationship insights and real-time alerts to drive smarter decisions. Learn how..."",""uploadDate"":""2025-04-01T13:32:52-07:00"",""thumbnailUrl"":""https://www.introhive.com/wp-content/uploads/2025/05/ask-introhive-and-signals.jpg"",""embedUrl"":""https://www.youtube.com/embed/1rtup0f-y7Q"",""contentUrl"":"""",""duration"":""PT2M44S"",""width"":""1280"",""height"":""720"",""isFamilyFriendly"":true}}",,,,,,,,
1.1.2 Data Automation,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-1-data-automation/,https://www.introhive.com/data-automation/,https://www.introhive.com/page-sitemap.xml,page,platform,data-automation,data-automation,,,,,,,21,no,,"{""Article"":{""headline"":""%seo_title%"",""description"":""%seo_description%"",""datePublished"":""%date(Y-m-dTH:i:sP)%"",""dateModified"":""%modified(Y-m-dTH:i:sP)%"",""keywords"":""%keywords%"",""image"":{""@type"":""ImageObject"",""url"":""%post_thumbnail%""},""author"":{""@type"":""Person"",""name"":""%name%""},""@type"":""Article"",""metadata"":{""title"":""Article"",""type"":""template"",""isPrimary"":true}}}",,,,,,,,
1.1.3 Contact Management,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-1-contact-management/,https://www.introhive.com/contact-management/,https://www.introhive.com/page-sitemap.xml,page,platform,contact-management,contact-management,,,,,,relationship intelligence,32,no,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1 Data Quality,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-2-data-quality/,https://www.introhive.com/data-quality/,https://www.introhive.com/page-sitemap.xml,page,platform,data-quality,data-quality,,,,,,,27,no,,"{""Article"":{""headline"":""%seo_title%"",""description"":""%seo_description%"",""datePublished"":""%date(Y-m-dTH:i:sP)%"",""dateModified"":""%modified(Y-m-dTH:i:sP)%"",""keywords"":""%keywords%"",""image"":{""@type"":""ImageObject"",""url"":""%post_thumbnail%""},""author"":{""@type"":""Person"",""name"":""%name%""},""@type"":""Article"",""metadata"":{""title"":""Article"",""type"":""template"",""isPrimary"":true}},""VideoObject"":{""@type"":""VideoObject"",""metadata"":{""title"":""Video"",""type"":""template"",""shortcode"":""s-6752930b4ea9c"",""isPrimary"":true,""reviewLocationShortcode"":""[rank_math_rich_snippet]"",""category"":""%categories%"",""tags"":""%tags%"",""isAutoGenerated"":true},""name"":""Freshfields Revolutionizes Customer Centricity with Introhive"",""description"":""As a global elite law firm and top-tier firm in the US, Freshfields Bruckhaus Deringer (Freshfields) serves clients in 150+ countries. Freshfields is a recog..."",""uploadDate"":""2022-10-25T13:29:46-07:00"",""thumbnailUrl"":""https://www.introhive.com/wp-content/uploads/2024/12/freshfields-revolutionizes-custo-1.jpg"",""embedUrl"":""https://www.youtube.com/embed/KjnNUAJfRFg"",""contentUrl"":"""",""duration"":""PT2M26S"",""width"":""1280"",""height"":""720"",""isFamilyFriendly"":true}}",,,,,,,,
1.2.2 Data Security,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-2-data-security/,https://www.introhive.com/why-introhive-security/,https://www.introhive.com/page-sitemap.xml,page,platform,data-security,why-introhive-security,Data security | Why Introhive | Introhive,We earn trust by meeting and exceeding current data security and privacy standards while maintaining constant vigilance over our customer's data.,index,,,data security,75,no,,,,,,,,,,
1.2.3 Integrations,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-2-intergrations/,https://www.introhive.com/integrations/,https://www.introhive.com/page-sitemap.xml,page,platform,integrations,integrations,Integrations and apps | Your technology stack | Introhive,Get the most out of your technology stack with a broad set of native integrations and apps. Unlock the full potential of Customer Intelligence.,,,,integration,81,no,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1 See your firm's relationships,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-3-firm-wide-relationship/,,,page,solutions,firm-wide-relationship-visibility,,,,,,,,,,,,,,,,,,,
2.1.2 Win and grow more business,https://env-introhive-thrillworks.kinsta.cloud/tw-template-feature-3-revenue-growth-cross-sell/,,,page,solutions,revenue-growth-and-cross-sell,,,,,,,,,,,,,,,,,,,
